File: engine.test.exe
Build ID: C:\Users\Q\AppData\Local\Temp\go-build181148550\b001\engine.test.exe2026-09-17 00:38:23.5775724 -0600 MDT
Type: cpu
Time: 2026-09-17 00:38:23 MDT
Duration: 5.78s, Total samples = 8.07s (139.66%)
Showing nodes accounting for 5.97s, 73.98% of 8.07s total
Dropped 241 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%      5.13s 63.57%  github.com/MongooseMoo/barn/engine.(*Runtime).EvalCommandOutput
         0     0%     0%      5.13s 63.57%  github.com/MongooseMoo/barn/engine.BenchmarkProtectedBuiltinDispatch.func1
     0.06s  0.74% 71.00%      0.06s  0.74%  runtime.getMCache (inline)
     0.02s  0.25% 71.25%      0.06s  0.74%  runtime.growslice
     0.01s  0.12% 71.38%      0.06s  0.74%  runtime.mapaccess2_faststr
         0     0% 71.38%      0.06s  0.74%  runtime.preemptall
         0     0% 71.38%      0.06s  0.74%  runtime.resetspinning
     0.01s  0.12% 71.50%      0.06s  0.74%  runtime.runSafePointFn
         0     0% 71.50%      0.06s  0.74%  runtime.wbMove
     0.01s  0.12% 71.62%      0.05s  0.62%  github.com/MongooseMoo/barn/db/store.(*Store).hasObjectFlag
     0.04s   0.5% 72.12%      0.05s  0.62%  github.com/MongooseMoo/barn/types.Value.MayHoldFinalizable
     0.01s  0.12% 72.24%      0.05s  0.62%  github.com/MongooseMoo/barn/vm.(*VM).frameFrom (inline)
         0     0% 72.24%      0.05s  0.62%  github.com/MongooseMoo/barn/vm.hasObjectFlagForRead (inline)
         0     0% 72.24%      0.05s  0.62%  github.com/MongooseMoo/barn/vm.validForRead (inline)
     0.01s  0.12% 72.37%      0.05s  0.62%  runtime.(*mheap).freeSpan (inline)
     0.01s  0.12% 72.49%      0.05s  0.62%  runtime.addspecial
     0.01s  0.12% 72.61%      0.05s  0.62%  runtime.concatstring2
     0.01s  0.12% 72.74%      0.05s  0.62%  runtime.deductAssistCredit
         0     0% 72.74%      0.05s  0.62%  runtime.gcMarkDone
     0.01s  0.12% 72.86%      0.05s  0.62%  runtime.newarray
         0     0% 72.86%      0.05s  0.62%  runtime.procyield (inline)
     0.05s  0.62% 73.48%      0.05s  0.62%  runtime.procyieldAsm
     0.03s  0.37% 73.85%      0.05s  0.62%  runtime.scanblock
         0     0% 73.85%      0.05s  0.62%  runtime.scanframeworker
     0.01s  0.12% 73.98%      0.05s  0.62%  runtime.wbZero
